,0
0,Reuters: Trump inviterer Putin til Washington
1,FN-etterforsker: Khashoggi ble henrettet av Saudi-Arabia
2,Stillingskrig mellom USA og Kina
3,Fyller tanken med store lån
4,Asia-krasj har barbert bort verdier for 40.000 milliarder
5,Kina til Donald Trump: – Skaff deg Huawei-telefon
6,Saudi-arabisk påtalemyndighet sier drapet på Khashoggi var planlagt
7,Asia-børsene faller kraftig: – Frykten i markedet er åpenbar
8,Musk holder det han lover - markedet overrasket
9,Ny tjeneste oversetter på sparket med kunstig intelligens
10,New York saksøker Exxon Mobil
11,"Bomber sendt til to ekspresidenter, CIA og CNN"
12,Hele børsoppgangen i år er blåst bort
13,– Hver gang vi gjør noe fantastisk så setter han opp renten
14,Meningsmåling: Haddad knapper inn på Bolsonaro
15,Uforutsigbar Trump bringer asiatiske rivaler nærmere
16,Elektriske biler og busser overtar i Kinas laboratorium
17,Luftige omgivelser
