;0;1;2;3;4;5
0;1&1 Drillisch AG;/en/the-fund/responsible-investment/our-voting-records/meeting/?s=DE0005545503&m=1202210&c=5643915;DRI;17/05/2018;Annual;Germany
1;1-Page Limited;/en/the-fund/responsible-investment/our-voting-records/meeting/?s=AU0000001PG3&m=1069739&c=5643915;1PG;29/06/2016;Annual;Australia
2;1-PAGE LIMITED;/en/the-fund/responsible-investment/our-voting-records/meeting/?s=AU0000001PG3&m=1137431&c=5643915;1PG;15/05/2017;Special;Australia
3;1-PAGE LIMITED;/en/the-fund/responsible-investment/our-voting-records/meeting/?s=AU0000001PG3&m=1153034&c=5643915;1PG;26/06/2017;Annual;Australia
4;1-PAGE LIMITED;/en/the-fund/responsible-investment/our-voting-records/meeting/?s=AU0000001PG3&m=1177607&c=5643915;1PG;31/10/2017;Special;Australia
5;1-PAGE LIMITED;/en/the-fund/responsible-investment/our-voting-records/meeting/?s=AU0000001PG3&m=1233989&c=5643915;PGQW.F;30/05/2018;Annual;Australia
6;1-Page Ltd.;/en/the-fund/responsible-investment/our-voting-records/meeting/?s=AU0000001PG3&m=1259256&c=5643915;1PG;12/09/2018;Special;Australia
7;1st Source Corporation;/en/the-fund/responsible-investment/our-voting-records/meeting/?s=336901103&m=862883&c=355082;SRCE;24/04/2014;Annual;USA
8;1st Source Corporation;/en/the-fund/responsible-investment/our-voting-records/meeting/?s=336901103&m=953499&c=5646462;SRCE;23/04/2015;Annual;USA
9;1st Source Corporation;/en/the-fund/responsible-investment/our-voting-records/meeting/?s=336901103&m=1039150&c=5646452;SRCE;21/04/2016;Annual;USA
10;1st Source Corporation;/en/the-fund/responsible-investment/our-voting-records/meeting/?s=336901103&m=1122984&c=5646452;SRCE;20/04/2017;Annual;USA
11;1st Source Corporation;/en/the-fund/responsible-investment/our-voting-records/meeting/?s=336901103&m=1209757&c=5646452;SRCE;19/04/2018;Annual;USA
12;2G Energy AG;/en/the-fund/responsible-investment/our-voting-records/meeting/?s=D8453H103&m=900803&c=355082;2GB;16/07/2014;Annual;Germany
13;2G Energy AG;/en/the-fund/responsible-investment/our-voting-records/meeting/?s=DE000A0HL8N9&m=951609&c=5643915;2GB;08/07/2015;Annual;Germany
14;2U, Inc.;/en/the-fund/responsible-investment/our-voting-records/meeting/?s=90214J101&m=1145795&c=5646452;TWOU;05/06/2017;Annual;USA
15;2U, Inc.;/en/the-fund/responsible-investment/our-voting-records/meeting/?s=90214J101&m=1235967&c=5646452;TWOU;26/06/2018;Annual;USA
16;3-D Matrix Ltd.;/en/the-fund/responsible-investment/our-voting-records/meeting/?s=J835A0107&m=818548&c=1216864;7777;25/07/2013;Annual;Japan
